,Name,Artists
432,Seein' Red,Dustin Lynch
433,Super Trapper,Future
434,Dancing On My Own,Calum Scott
435,No Favors,"Big Sean,Eminem"
436,Zoom,Future
437,Starving,"Hailee Steinfeld,Grey,Zedd"
438,Juju On That Beat (TZ Anthem),"Zay Hilfigerrr,Zayion McCall"
439,Bom Bidi Bom,"Nick Jonas,Nicki Minaj"
440,Helium,Sia
441,Heroe Favorito,Romeo Santos
442,Way Down We Go,Kaleo
443,Everything 1K,Kodak Black
444,Wanna Be That Song,Brett Eldredge
445,Sex With Me,Rihanna
446,Some Kind Of Drug,"G-Eazy,Marc E. Bassy"
447,Cheap Thrills,"Sia,Sean Paul"
448,Don't Let Me Down,"The Chainsmokers,Daya"
449,The Greatest,"Sia,Kendrick Lamar"
450,Bad Romance,Lady Gaga
451,HandClap,Fitz And The Tantrums
452,Sacrifices,"Big Sean,Migos"
453,Halfway Off The Balcony,Big Sean
454,Jump Out The Window,Big Sean
455,Owe Me,Big Sean
456,Beauty And The Beast,"Ariana Grande,John Legend"
457,I Don't,"Mariah Carey,YG"
458,80s Mercedes,Maren Morris
459,Now & Later,Sage The Gemini
460,OTW,DJ Luke Nasty
461,Light,"Big Sean,Jeremih"
462,Kelly Price,"Migos,Travis Scott"
463,Blue Ain't Your Color,Keith Urban
464,X,"21 Savage,Metro Boomin,Future"
465,Call Casting,Migos
466,Run Up,"Major Lazer,PARTYNEXTDOOR,Nicki Minaj"
467,I'm Better,"Missy Elliott,Lamb"
468,Get Right Witcha,Migos
469,If The Boot Fits,Granger Smith
470,Dirty Laundry,Carrie Underwood
471,Fresh Eyes,Andy Grammer
472,Culture,"Migos,DJ Khaled"
473,Alone,Marshmello
474,Chill Bill,"Rob $tone,J. Davi$,Spooks"
475,Cold Water,"Major Lazer,Justin Bieber,MO"
476,Love On The Weekend,John Mayer
477,Sneakin',"Drake,21 Savage"
478,Song For Another Time,Old Dominion
479,Say It,"Flume,Tove Lo"
480,Water,Ugly God
481,Running Back,"Wale,Lil Wayne"
482,You Was Right,Lil Uzi Vert
483,In The Name Of Love,"Martin Garrix,Bebe Rexha"
484,Not Afraid Anymore,Halsey
485,Red Opps,21 Savage
486,Neighbors,J. Cole
487,Timeless,"A Boogie Wit da Hoodie,DJ SPINKING"
488,Parachute,Chris Stapleton
489,All We Know,"The Chainsmokers,Phoebe Ryan"
490,Just Hold On,"Steve Aoki,Louis Tomlinson"
491,Beibs In The Trap,Travis Scott
492,My Sh*t,A Boogie Wit da Hoodie
493,OOOUUU,Young M.A
494,I Hate U I Love U,"gnash,Olivia O'Brien"
495,May We All,"Florida Georgia Line,Tim McGraw"
496,Sleep Without You,Brett Young
497,Drinkin' Too Much,Sam Hunt
498,Immortal,J. Cole
499,What They Want,Russ
500,Unsteady,X Ambassadors
501,Too Much Sauce,"DJ ESCO,Future,Lil Uzi Vert"
502,How I'll Always Be,Tim McGraw
503,Hallelujah,Pentatonix
504,Shaky Shaky,Daddy Yankee
505,Key To The Streets,"YFN Lucci,Migos,Trouble"
506,We Know The Way,"Opetaia Foa'i,Lin-Manuel Miranda"
507,Careless Whisper,"Wham!,George Michael"
508,All I Want For Christmas Is You,Mariah Carey
509,Last Christmas,Wham!
510,Faith,George Michael
511,Pick Up The Phone,"Young Thug And Travis Scott,Quavo"
512,No Flockin,Kodak Black
513,Black Barbies,Nicki Minaj X Mike WiLL Made-It
514,Hate U Love U,Olivia O'Brien
